tempo,carros_parados_prioritarios
0,0
1,8
2,0
3,0
4,4
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,8
15,8
16,8
17,8
18,4
19,0
20,0
21,0
22,4
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,20
33,20
34,20
35,20
36,20
37,20
38,20
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
48,4
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,8
69,8
70,16
71,16
72,16
73,24
74,24
75,24
76,24
77,24
78,24
79,24
80,24
81,24
82,24
83,24
84,24
85,24
86,24
87,24
88,24
89,24
90,24
91,24
92,24
93,24
94,24
95,8
96,4
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
