tempo,num_emergency,total_espera_emergency,media_espera_emergency
0,0,0.0,0.0
1,4,0.0,0.0
2,4,0.0,0.0
3,4,0.0,0.0
4,4,0.0,0.0
5,4,0.0,0.0
6,4,0.0,0.0
7,4,0.0,0.0
8,4,0.0,0.0
9,4,0.0,0.0
10,4,0.0,0.0
11,4,0.0,0.0
12,4,0.0,0.0
13,4,0.0,0.0
14,4,1.0,0.25
15,4,2.0,0.5
16,4,3.0,0.75
17,4,4.0,1.0
18,4,0.0,0.0
19,4,0.0,0.0
20,4,0.0,0.0
21,4,0.0,0.0
22,4,0.0,0.0
23,4,1.0,0.25
24,4,2.0,0.5
25,4,3.0,0.75
26,4,4.0,1.0
27,3,5.0,1.6666666666666667
28,3,6.0,2.0
29,3,7.0,2.3333333333333335
30,3,8.0,2.6666666666666665
31,3,9.0,3.0
32,3,11.0,3.6666666666666665
33,3,13.0,4.333333333333333
34,3,15.0,5.0
35,3,17.0,5.666666666666667
36,3,19.0,6.333333333333333
37,2,21.0,10.5
38,2,23.0,11.5
39,2,25.0,12.5
40,2,27.0,13.5
41,2,29.0,14.5
42,2,31.0,15.5
43,2,33.0,16.5
44,2,35.0,17.5
45,2,37.0,18.5
46,2,39.0,19.5
47,2,41.0,20.5
48,2,17.0,8.5
49,2,0.0,0.0
50,2,0.0,0.0
51,2,0.0,0.0
52,2,0.0,0.0
53,2,0.0,0.0
54,2,0.0,0.0
55,2,0.0,0.0
56,2,0.0,0.0
57,2,0.0,0.0
58,2,0.0,0.0
59,2,0.0,0.0
60,2,0.0,0.0
61,2,0.0,0.0
62,2,0.0,0.0
63,2,0.0,0.0
64,2,0.0,0.0
65,2,0.0,0.0
66,2,0.0,0.0
67,2,0.0,0.0
68,2,1.0,0.5
69,2,2.0,1.0
70,2,4.0,2.0
71,2,6.0,3.0
72,2,8.0,4.0
73,2,10.0,5.0
74,2,12.0,6.0
75,2,14.0,7.0
76,2,16.0,8.0
77,2,18.0,9.0
78,2,20.0,10.0
79,2,22.0,11.0
80,2,24.0,12.0
81,2,26.0,13.0
82,2,28.0,14.0
83,2,30.0,15.0
84,2,32.0,16.0
85,2,34.0,17.0
86,2,36.0,18.0
87,2,38.0,19.0
88,2,40.0,20.0
89,2,42.0,21.0
90,2,44.0,22.0
91,2,46.0,23.0
92,2,48.0,24.0
93,2,50.0,25.0
94,2,52.0,26.0
95,2,26.0,13.0
96,2,0.0,0.0
97,2,0.0,0.0
98,2,0.0,0.0
99,2,0.0,0.0
100,2,0.0,0.0
101,2,0.0,0.0
102,2,0.0,0.0
103,2,0.0,0.0
104,2,0.0,0.0
105,1,0.0,0.0
106,1,0.0,0.0
107,0,0.0,0.0
108,0,0.0,0.0
109,0,0.0,0.0
110,0,0.0,0.0
111,0,0.0,0.0
112,0,0.0,0.0
113,0,0.0,0.0
114,0,0.0,0.0
115,0,0.0,0.0
116,0,0.0,0.0
117,0,0.0,0.0
118,0,0.0,0.0
