tempo,tempo_espera
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,3.0
14,8.0
15,8.0
16,11.0
17,16.0
18,5.0
19,0.0
20,0.0
21,1.0
22,5.0
23,10.0
24,15.0
25,20.0
26,25.0
27,30.0
28,35.0
29,40.0
30,45.0
31,51.0
32,58.0
33,66.0
34,74.0
35,83.0
36,92.0
37,101.0
38,111.0
39,121.0
40,131.0
41,141.0
42,151.0
43,161.0
44,171.0
45,181.0
46,191.0
47,201.0
48,76.0
49,12.0
50,13.0
51,14.0
52,15.0
53,16.0
54,17.0
55,18.0
56,19.0
57,20.0
58,21.0
59,22.0
60,23.0
61,24.0
62,25.0
63,26.0
64,27.0
65,0.0
66,0.0
67,0.0
68,1.0
69,3.0
70,6.0
71,9.0
72,13.0
73,18.0
74,23.0
75,28.0
76,33.0
77,38.0
78,43.0
79,48.0
80,53.0
81,58.0
82,63.0
83,68.0
84,73.0
85,78.0
86,83.0
87,88.0
88,93.0
89,98.0
90,103.0
91,108.0
92,113.0
93,118.0
94,123.0
95,73.0
96,24.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
