tempo,total_paradas
0,0
1,24
2,0
3,0
4,5
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,5
15,3
16,3
17,5
18,3
19,0
20,0
21,1
22,4
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,6
32,7
33,8
34,8
35,9
36,9
37,9
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,5
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,2
70,3
71,3
72,4
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,3
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
